company,project,description ,amount ,vat ,total ,group ,date ,supplier ,invoiceId ,excelRecId ,remark ,published ,year 
ביצועים,צייטלין 2,ג'יוסי - 22-10,15272,2596,17868,95,2022-10-30T22:00:00.000Z,ג'יוסי,176797,8304,,TRUE,2022
ביצועים,גשר,מעליות אלקטרה - תשלום שני,60740,10326,71065,95,2022-10-30T22:00:00.000Z,מעליות אלקטרה,221001686,8314,העברה בנקאית - 02.11.22,TRUE,2022
ביצועים,צייטלין 2,מוטי פרץ 22-10,514,87,601,95,2022-10-30T22:00:00.000Z,מוטי פרץ,19185,8298,"שיק 10559 ע""ס 6,375 ש""ח לתאריך 30.11.22 עבור חשבוניות 18579, 18875, 19030, 19185",TRUE,2022
ביצועים,צייטלין 2,מרכז הגבס - 22-10 - ציייטלין,785,133,918,95,2022-10-30T22:00:00.000Z,מרכז הגבס,226010035,8330,"שיק 10578 ע""ס 37,263 ש""ח עבור חשבוניות אוקטובר 35,36,37,38",TRUE,2022
ביצועים,גשר,מרכז הגבס - 22-10 - גשר,6181,1051,7232,95,2022-10-30T22:00:00.000Z,מרכז הגבס,226010037,8327,"שיק 10578 ע""ס 37,263 ש""ח עבור חשבוניות אוקטובר 35,36,37,38",TRUE,2022
ביצועים,נווה אליעזר,מרכז הגבס - 22-10 - נווה אליעזר,2706,460,3166,95,2022-10-30T22:00:00.000Z,מרכז הגבס,226010036,8324,"שיק 10578 ע""ס 37,263 ש""ח עבור חשבוניות אוקטובר 35,36,37,38",TRUE,2022
ביצועים,בבלי,מרכז הגבס - 22-10 - בבלי,22177,3770,25947,95,2022-10-30T22:00:00.000Z,מרכז הגבס,226010038,8321,"שיק 10578 ע""ס 37,263 ש""ח עבור חשבוניות אוקטובר 35,36,37,38",TRUE,2022
ביצועים,גשר,אלומיניום - גשר - איציק,118500,20145,138645,95,2022-10-31T22:00:00.000Z,איציק אלומיניום,1543,8450,"שיק 10556 ע""ס 65,000 ש""ח לתאריך 30.11.22 + שיק 10557 ע""ס 73,645 ש""ח לתאריך 31.01.23",TRUE,2022
ביצועים,גשר,נגרות מסגרות גשר,100000,17000,117000,95,2022-10-31T22:00:00.000Z,נגר אלסוריקי,411,8477,"שיק 10547 ע""ס 50,000 ש""ח לתאריך 01.11.22 + שיק 10548 ע""ס 61,150 ש""ח לתאריך 31.12.22 (ניקוי 5%)",TRUE,2022
ביצועים,צייטלין 2,חרש - ריצוף למעליות צייטלין,907,154,1061,95,2022-11-01T22:00:00.000Z,חרש חולון,274262,8457,שולם באשראי,TRUE,2022
ביצועים,צייטלין 2,חמיס - צייטלין 2,40000,6800,46800,95,2022-11-01T22:00:00.000Z,מ.ע הובלות (חמיס),369,8463,"שיק 10554 ע""ס 78,390 ש""ח עבור חשבוניות 369, 370, 371",TRUE,2022
ביצועים,גשר,חמיס - גשר,20800,3536,24336,95,2022-11-01T22:00:00.000Z,מ.ע הובלות (חמיס),370,8466,"שיק 10554 ע""ס 78,390 ש""ח עבור חשבוניות 369, 370, 371",TRUE,2022
ביצועים,נווה אליעזר,חמיס נווה אליעזר,6200,1054,7254,95,2022-11-01T22:00:00.000Z,מ.ע הובלות (חמיס),371,5125,"שיק 10554 ע""ס 78,390 ש""ח עבור חשבוניות 369, 370, 371",TRUE,2022
ביצועים,,שכירות מחסן - האצל 33 - תשלום 1 3 חודשים,3000,,3000,95,2022-11-01T22:00:00.000Z,,1118,6940,העברה בנקאית,TRUE,2022
ביצועים,בבלי,אדם - בבלי,25200,4284,29484,95,2022-11-01T22:00:00.000Z,אור הארץ,2132,8447,"שיק 10555 ע""ס 29,484 ש""ח (12,000 אדם, 13,200 תומר) לתאריך 02.11.22",TRUE,2022
ביצועים,סטף,עמאר קבלן שלד,55000,9350,64350,95,2022-11-01T22:00:00.000Z,ע.ס.ג הנדסה,29,8437,"שיק 10553 ע""ס 61,133 ש""ח לאחר ניקוי 5% במקור",TRUE,2022
ביצועים,הוצאות אלי,צבע ומברשת,73,12,85,95,2022-11-02T22:00:00.000Z,,,,,FALSE,2022
ביצועים,נווה אליעזר,בולוקל - בלוקים לנווה אליעזר,14824,,14824,95,2022-11-07T22:00:00.000Z,,22001221,8460,העברה בנקאית - 06.11.22,TRUE,2022
ביצועים,בבלי,קאברית - הצללה לבבלי,15835,2692,18527,95,2022-11-07T22:00:00.000Z,קאברית,10133,8444,"שיק 10594 ע""ס 29,422ש""ח עבור חשבוניות 10133, 10057 לתאריך 28.02.23",TRUE,2022
ביצועים,גשר,אמארה גילוי אש - מקדמה גשר,15000,2550,17550,95,2022-11-07T22:00:00.000Z,אמארה,77,8476,"העברה בנקאית 08.11.22 סך של 16,848 ש""ח לאחר ניקוי 4% במקור",TRUE,2022
ביצועים,גשר,גולמט - תשלום 1,34322,5835,40157,94,2022-07-10T21:00:00.000Z,גולמט,2206822,7420,"שיק 10450 לתאריך 30.09.22 (כולל אי אר אן..) - שים לב חשבונית עס 40,157 !!!!!!",TRUE,2022
ביצועים,גשר,גולמט - תשלום 2,43392,7377,50769,94,2022-08-13T21:00:00.000Z,גולמט,2206823,7427,שיק 10471 לתאריך 01.11.22 (כולל אי אר אן..),TRUE,2022
ביצועים,גשר,מיזוג - גשר 3,15000,2550,17550,94,2022-08-16T21:00:00.000Z,מזגנים - גילי,1125,7217,"שיק 10474 ע""ס 17,199 ש""ח לתאריך 17.07.22",TRUE,2022
ביצועים,,טיפול לאוטו של אייל,650,,650,94,2022-08-21T21:00:00.000Z,,17609,7807,אשראי,TRUE,2022
ביצועים,צייטלין 2,אחים ונטורה,524,,524,94,2022-08-23T21:00:00.000Z,ונטורה אחים,289149,7814,,TRUE,2022
ביצועים,גשר,מוטי פרץ 22-08,972,165,1138,94,2022-08-30T21:00:00.000Z,מוטי פרץ,18875,7815,"שיק 10559 ע""ס 6,375 ש""ח לתאריך 30.11.22 עבור חשבוניות 18579, 18875, 19030, 19185",FALSE,2022
ביצועים,גשר,גולמט - תשלום ראשון,6127,1042,7169,94,2022-08-30T21:00:00.000Z,גולמט,2206100,7782,,TRUE,2022
ביצועים,בבלי,מרכז הגבס - 22-08 בבלי,19468,3310,22778,94,2022-08-30T21:00:00.000Z,מרכז הגבס,226007960,7818,"שיק מס' 10527 ע""ס 51,905 ש""ח לתאריך 30.11.22 עבור חשבוניות 7960, 7961",TRUE,2022
ביצועים,גשר,מרכז הגבס - 22-08 גשר,24895,4232,29127,94,2022-08-30T21:00:00.000Z,מרכז הגבס,226007961,7821,"שיק מס' 10527 ע""ס 51,905 ש""ח לתאריך 30.11.22 עבור חשבוניות 7960, 7961",TRUE,2022
ביצועים,ג. התחמושת 2,מוטי פרץ 22-08,972,165,1138,94,2022-08-30T21:00:00.000Z,מוטי פרץ,18875,7815,"שיק 10559 ע""ס 6,375 ש""ח לתאריך 30.11.22 עבור חשבוניות 18579, 18875, 19030, 19185",TRUE,2022
ביצועים,גשר,"שריף - ע""ח עבודות פיתוח גשר",100000,17000,117000,94,2022-09-10T21:00:00.000Z,אחים שריף,312,7445,"שיק 10480 ע""ס 113,490 לתאריך 28.08.22 לאחר 3% ניקוי במקור",TRUE,2022
ביצועים,בבלי,אור הארץ - עבודות בבלי,20000,3400,23400,94,2022-09-10T21:00:00.000Z,אור הארץ,3064,7459,שיק 10494 11.09.22 עבודות פועלים בבלי,TRUE,2022
ביצועים,ג. התחמושת 2,אחים ונטורה,790,,790,94,2022-09-11T21:00:00.000Z,ונטורה אחים,290015,7830,,TRUE,2022
ביצועים,צייטלין 2,כיבוד צייטלין,855,,855,94,2022-09-12T21:00:00.000Z,,59,,,TRUE,2022
ביצועים,ג. התחמושת 2,משתנה לגבעת התחשמושת,3556,604,4160,94,2022-09-13T21:00:00.000Z,,3913,7837,אשראי,FALSE,2022
ביצועים,גשר,פילרים לגשר,4600,782,5382,94,2022-09-13T21:00:00.000Z,,12345737,7843,אשראי,FALSE,2022
יזמות,גדות שעריה,שמאות - תיקון טבלת איזון עבור מחוזית,2500,425,2925,94,2022-09-13T21:00:00.000Z,,22180,20279,העברה בנקאית - 16.09.22,FALSE,2022
ביצועים,גשר,פיגום תוך המעלית,9000,1530,10530,94,2022-09-13T21:00:00.000Z,פיגום י.ש,100639,7844,"שיק 10576 16.11.22 20,000 + שיק 10577 15.01.23 36,862 עבור חשבוניות 639, 649",TRUE,2022
ביצועים,גשר,פילרים בטון,4600,782,5382,94,2022-09-13T21:00:00.000Z,,12345737,7843,,FALSE,2022
ביצועים,ג. התחמושת 2,משתנה חשמלית 2,3556,604,4160,94,2022-09-13T21:00:00.000Z,,3913,7837,,FALSE,2022
ביצועים,הוצאות אלי,ריצוף,6432,,6432,94,2022-09-13T21:00:00.000Z,פרפקט ליין,5582664,7847,,TRUE,2022
ביצועים,גשר,אורבניקס - TRX לגשר,32845,5584,38429,94,2022-09-14T21:00:00.000Z,,53867,,שיק 10506 לתאריך 15.11.22,FALSE,2022
ביצועים,סטף,תוכנת פרוג'קט לסטף,342,58,400,94,2022-09-14T21:00:00.000Z,,6803,7850,,TRUE,2022
ביצועים,ג. התחמושת 2,אחים ונטורה,75,,75,94,2022-09-14T21:00:00.000Z,ונטורה אחים,290216,7857,,TRUE,2022
ביצועים,ג. התחמושת 2,חרש - השלמות,5220,887,6107,94,2022-09-14T21:00:00.000Z,חרש חולון,272434,7858,אשראי,FALSE,2022
ביצועים,גשר,מ.ע הובלות - תשלום גשר (כולל נוה אליעזר),32000,5440,37440,94,2022-09-15T21:00:00.000Z,מ.ע הובלות (חמיס),319,7861,שיק 10504 17.09.22,TRUE,2022
ביצועים,נווה אליעזר,מ.ע הובלות - תשלום גשר (כולל נוה אליעזר),23000,3910,26910,94,2022-09-15T21:00:00.000Z,מ.ע הובלות (חמיס),319,7861,שיק 10504 17.09.22,TRUE,2022
ביצועים,בבלי,אור הארץ,30000,5100,35100,94,2022-09-15T21:00:00.000Z,אור הארץ,3066,7868,"שיק 10503 ע""ס 53,235 ש""ח עבור חשבוניות XXXX",TRUE,2022
ביצועים,ג. התחמושת 2,אור הארץ,15000,2550,17550,94,2022-09-15T21:00:00.000Z,אור הארץ,3066,7868,"שיק 10503 ע""ס 53,235 ש""ח עבור חשבוניות XXXX",TRUE,2022
ביצועים,הוצאות א,אייל - הלוואה 7,50000,,50000,94,2022-09-17T21:00:00.000Z,,,,העברה בנקאית,FALSE,2022
ביצועים,ג. התחמושת 2,אחים ונטורה,550,,550,94,2022-09-17T21:00:00.000Z,ונטורה אחים,290264,7875,,TRUE,2022
ביצועים,הוצאות אלי,ריצוף השלמות,279,,279,94,2022-09-17T21:00:00.000Z,פרפקט ליין,5582750,7876,,TRUE,2022
ביצועים,ג. התחמושת 2,אחים ונטורה,106,,106,94,2022-09-18T21:00:00.000Z,ונטורה אחים,290324,7883,,TRUE,2022
ביצועים,גשר,כיבוד גשר,1056,,1056,94,2022-09-18T21:00:00.000Z,,544,7885,,TRUE,2022
ביצועים,גשר,גולמט - ברגים,450,77,527,94,2022-09-19T21:00:00.000Z,גולמט,2207593,7886,,TRUE,2022
ביצועים,צייטלין 2,אינסטלציה,216,,216,94,2022-09-19T21:00:00.000Z,,16654,7889,,TRUE,2022
ביצועים,סטף,עמאר - תשלום שני,59250,10073,69323,94,2022-09-20T21:00:00.000Z,ע.ס.ג הנדסה,27,7892,"שיק 10511 ע""ס 32,925 ש""ח 24.09.22 + שיק 10513 ע""ס 32,928 ש""ח 15.11.22",TRUE,2022
ביצועים,גשר,מיזוג - גשר 4,20000,3400,23400,94,2022-09-21T21:00:00.000Z,מזגנים - גילי,1140,7901,"שיק 10519 - סך 22,932 לתאריך 26/09/22 - לאחר ניקוי 2% במקור",TRUE,2022
ביצועים,גשר,מ.ע הובלות - תשלום גשר,27000,4590,31590,94,2022-09-21T21:00:00.000Z,מ.ע הובלות (חמיס),330,7910,"שיק 10517 ע""ס 31,590 תאריך 24.09.22",TRUE,2022
ביצועים,,מ.ע הובלות - תשלום לורנס,12900,2193,15093,94,2022-09-21T21:00:00.000Z,מ.ע הובלות (חמיס),329,7913,"שיק 10518 ע""ס 15,093 תאריך 24.09.22",TRUE,2022
ביצועים,בבלי,אור הארץ - בבלי,34000,5780,39780,94,2022-09-21T21:00:00.000Z,אור הארץ,3068,7920,"שיק 10514 ע""ס 39,780 ש""ח לתאריך 22.09.22",TRUE,2022
ביצועים,ג. התחמושת 2,אור הארץ - התחמושת 2,70000,11900,81900,94,2022-09-21T21:00:00.000Z,אור הארץ,3067,7923,"שיק 10515 - 22.09.22 תוספות - 50 גשר, 20 בבלי",TRUE,2022
ביצועים,סטף,כל שלט - השלמת מדבקה שלט לגשר,200,34,234,94,2022-09-21T21:00:00.000Z,,5839,7928,"שיק 10650 ע""ס 7,664 ש""ח עבור חשבוניות 5900, 5839",TRUE,2022
ביצועים,צייטלין 2,אחים ונטורה,3980,,3980,94,2022-09-21T21:00:00.000Z,ונטורה אחים,290518,7935,,TRUE,2022
ביצועים,צייטלין 2,אחים ונטורה,2430,,2430,94,2022-09-21T21:00:00.000Z,ונטורה אחים,290521,7937,,TRUE,2022
ביצועים,הוצאות אלי,ריצוף השלמות,101,,101,94,2022-09-21T21:00:00.000Z,פרפקט ליין,5585878,,,TRUE,2022
ביצועים,הוצאות אלי,חמיס עבודות,12900,2193,15093,94,2022-09-21T21:00:00.000Z,,,,,FALSE,2022
ביצועים,צייטלין 2,עצים זוהר - מעליות,1571,267,1838,94,2022-09-24T21:00:00.000Z,זוהר עצים,246107,7948,,TRUE,2022
ביצועים,נווה אליעזר,ברק אש - מקדמה,30160,5127,35287,94,2022-09-27T21:00:00.000Z,ברק אש,4995,7949,שיק 10522 לתאריך 30.11.22,TRUE,2022
ביצועים,צייטלין 2,אחים ונטורה,276,,276,94,2022-09-27T21:00:00.000Z,ונטורה אחים,290616,7958,,TRUE,2022
ביצועים,גשר,מ.ע הובלות - תשלום גשר,25500,4335,29835,94,2022-09-28T21:00:00.000Z,מ.ע הובלות (חמיס),333,8006,"שיק 10525 ע""ס 29,835 תאריך 02.10.22",TRUE,2022
ביצועים,צייטלין 2,מ.ע הובלות - צייטלין 2,20500,3485,23985,94,2022-09-28T21:00:00.000Z,מ.ע הובלות (חמיס),334,,"שיק 10526 (בוטל בגלל טעות בשנה) ע""ס 23,985 תאריך 02.10.22 הוחלף בשיק 10538",TRUE,2022
ביצועים,צייטלין 2,מזרנים לפועלים,1685,,1685,94,2022-09-28T21:00:00.000Z,,16045,7963,העברה בנקאית,TRUE,2022
ביצועים,ג. התחמושת 2,אור הארץ - התחמושת 2,28000,4760,32760,94,2022-09-28T21:00:00.000Z,אור הארץ,3076,8011,שיק 10524 לתאריך 29.09.22,TRUE,2022
ביצועים,בבלי,אור הארץ - בבלי,17500,2975,20475,94,2022-09-28T21:00:00.000Z,אור הארץ,3076,8011,"שיק 10523 ע""ס 20,475 ש""ח (בבלי 8, רכב 8, אייל 1.5)",TRUE,2022
ביצועים,הוצאות אלי,ספיגולד - חומרי בנין,274,47,320,94,2022-09-28T21:00:00.000Z,,24698,7968,,TRUE,2022
ביצועים,גשר,מרכז הגבס - 22-09 גשר,1547,263,1810,94,2022-09-29T21:00:00.000Z,מרכז הגבס,226009393,,"שיק 10551 ע""ס 80,428 ש""ח לתאריך 31.12.22 עבור חשבוניות 8898, 8899, 8900, 8901, 9393",TRUE,2022
ביצועים,גשר,פרקט לגשר תשלום 1,83500,14195,97695,94,2022-09-29T21:00:00.000Z,יניב פרקטים,50027,7121,"שולם בשני שיקים 10535, 10536 לאחר ניקוי 2% במקור",TRUE,2022
ביצועים,גשר,יהודה גדרות - גשר תשלום 1,13771,2341,16112,94,2022-09-29T21:00:00.000Z,גדרות יהודה,505,7983,"שיק 10598 ע""ס 25,696 30.01.23 עבור חשבוניות 162, 521, 505, 4 (זיכוי)",TRUE,2022
ביצועים,הוצאות אלי,טמבור ברוך,70,,70,94,2022-10-01T21:00:00.000Z,,137547,8014,,TRUE,2022
ביצועים,בבלי,מאמין - בבלי ספק פרפקט,10000,1700,11700,94,2022-10-02T21:00:00.000Z,פרפקט לוחות חשמל,224000049,7986,"שיק 10529 ע""ס 11,115 ש""ח לאחר ניקוי 5% במקור",TRUE,2022
ביצועים,בבלי,מאמין - בבלי,30000,5100,35100,94,2022-10-02T21:00:00.000Z,מאמין חשמלאי אחים עתיד,211,8017,"שיק 10528 ע""ס 34,047 ש""ח לאחר ניקוי 3% במקור",TRUE,2022
ביצועים,צייטלין 2,עצים זוהר - מעליות,1980,337,2317,94,2022-10-05T21:00:00.000Z,זוהר עצים,246654,8028,,TRUE,2022
ביצועים,בבלי,אור הארץ - בבלי,27000,4590,31590,94,2022-10-06T21:00:00.000Z,אור הארץ,3077,8029,"שיק 10531 ע""ס 31,590 ש""ח תאריך 07.10.22",TRUE,2022
ביצועים,צייטלין 2,אחים ונטורה,2940,,2940,94,2022-10-08T21:00:00.000Z,ונטורה אחים,290921,8038,,TRUE,2022
ביצועים,גשר,"שריף - ע""ח עבודות פיתוח גשר",80000,13600,93600,94,2022-10-10T21:00:00.000Z,אחים שריף,317,8039,"שיק 10533 ע""ס 136,188 ש""ח עבור חשבוניות 318+319 לאחר ניקוי 3% במקור",TRUE,2022
ביצועים,בבלי,"שריף - ע""ח עבודות פיתוח בבלי",40000,6800,46800,94,2022-10-10T21:00:00.000Z,אחים שריף,318,8046,"שיק 10533 ע""ס 136,188 ש""ח עבור חשבוניות 318+319 לאחר ניקוי 3% במקור",TRUE,2022
ביצועים,גשר,מיזוג - גשר 5,30000,5100,35100,94,2022-10-10T21:00:00.000Z,מזגנים - גילי,1146,8049,"שיק 10534 ע""ס 34,398 ש""ח לאחר ניקוי 2% במקור",TRUE,2022
ביצועים,הוצאות אלי,טמבור ברוך,76,,76,94,2022-10-10T21:00:00.000Z,,138214,8056,,TRUE,2022
ביצועים,ג. התחמושת 2,אינסטלציה,515,,515,94,2022-10-11T21:00:00.000Z,,16877,8059,אשראי,TRUE,2022
ביצועים,נווה אליעזר,מ.ע הובלות - נווה אליעזר,6500,1105,7605,94,2022-10-12T21:00:00.000Z,מ.ע הובלות (חמיס),346,8062,"שיק 10537 ע""ס 66,105 ש""ח עבור גשר, נווה אליעזר, צייטלין2",TRUE,2022
ביצועים,גשר,מ.ע הובלות - גשר,20000,3400,23400,94,2022-10-12T21:00:00.000Z,מ.ע הובלות (חמיס),345,8067,"שיק 10537 ע""ס 66,105 ש""ח עבור גשר, נווה אליעזר, צייטלין2",TRUE,2022
ביצועים,צייטלין 2,מ.ע הובלות - צייטלין 2,30000,5100,35100,94,2022-10-12T21:00:00.000Z,מ.ע הובלות (חמיס),344,8070,"שיק 10537 ע""ס 66,105 ש""ח עבור גשר, נווה אליעזר, צייטלין2",TRUE,2022
ביצועים,בבלי,אור הארץ - בבלי,20000,3400,23400,94,2022-10-12T21:00:00.000Z,אור הארץ,3081,8073,שיק 10540,TRUE,2022
ביצועים,הוצאות א,אייל - הלוואה 8,20000,,20000,94,2022-10-12T21:00:00.000Z,,,,העברה בנקאית,FALSE,2022
ביצועים,צייטלין 2,עצים זוהר - קצף פוליטאורן,256,44,300,94,2022-10-12T21:00:00.000Z,זוהר עצים,247126,8082,אשראי,TRUE,2022
ביצועים,צייטלין 2,עצים זוהר - מעליות,3861,656,4517,94,2022-10-12T21:00:00.000Z,זוהר עצים,247124,8087,,TRUE,2022
ביצועים,גשר,אלומיניום - אחים מרואן תשלום 4,35000,5950,40950,94,2022-10-12T21:00:00.000Z,אחים מרואן,906,8088,"שיק 10541 ע""ס 100,620 ש""ח עבור גשר, נווה אליעזר, תוספות - תאריך 15.11.22",TRUE,2022
ביצועים,נווה אליעזר,אלומיניום - מרואן - מקדמה,31000,5270,36270,94,2022-10-12T21:00:00.000Z,אחים מרואן,906,8088,"שיק 10541 ע""ס 100,620 ש""ח עבור גשר, נווה אליעזר, תוספות - תאריך 15.11.22",TRUE,2022
ביצועים,הוצאות אלי,אלומיניום - מרואן,20000,3400,23400,94,2022-10-12T21:00:00.000Z,אחים מרואן,906,8088,"שיק 10541 ע""ס 100,620 ש""ח עבור גשר, נווה אליעזר, תוספות - תאריך 15.11.22",TRUE,2022
ביצועים,,מדפסת למשרד - מאקרו פרינט נס ציונה,1945,,1945,93,2022-05-25T21:00:00.000Z,,,,חסרה חשבונית !!!! להתקשר - 073-282-0555,FALSE,2022
ביצועים,גשר,אחים ונטורה,328,,328,93,2022-08-03T21:00:00.000Z,ונטורה אחים,,,,TRUE,2022
ביצועים,,תיקון ברקסים רכב אייל,600,,600,93,2022-08-04T21:00:00.000Z,,17496,7184,אשראי,TRUE,2022
ביצועים,גשר,אחים ונטורה,100,,100,93,2022-08-07T21:00:00.000Z,ונטורה אחים,,,,TRUE,2022
ביצועים,גשר,אחים ונטורה,360,,360,93,2022-08-08T21:00:00.000Z,ונטורה אחים,,,,TRUE,2022
ביצועים,גשר,מאמין - גשר תשלום 3,30000,5100,35100,93,2022-08-09T21:00:00.000Z,מאמין חשמלאי אחים עתיד,207,7190,"שיק 10472 סך 34,047 ש""ח לאחר ניקוי 3% במקור לתאריך 13.08.22",TRUE,2022
ביצועים,גשר,מ.ע הובלות חמיס תשלום 22,15000,2550,17550,93,2022-08-10T21:00:00.000Z,מ.ע הובלות (חמיס),281,7430,"שיק 10466 ע""ס 17,550 לתאריך 13.08.22 עבור חשבוניות 281",FALSE,2022
ביצועים,גשר,"מאמין - גשר תשלום 3.1 (ל אי.אר גי חשמל בע""מ)",30000,5100,35100,93,2022-08-12T21:00:00.000Z,מאמין חשמלאי אחים עתיד,23086,7197,שולם בשיק 10468 לתאריך 30.11.22,TRUE,2022
ביצועים,גשר,אלומיניום - אחים מרואן תשלום מקדמה 20%,45600,7752,53352,93,2022-08-13T21:00:00.000Z,אחים מרואן,877,7203,העברה בנקאית 14.08.22,TRUE,2022
ביצועים,גשר,דלתות שהרבני - גשר 4,19438,3304,22742,93,2022-08-13T21:00:00.000Z,שהרבני דלתות,31061,7204,"שיק 10485 ע""ס 41,921 לתאריך 31.10.22 עבור חשבוניות 31061, 31095",TRUE,2022
ביצועים,צייטלין 2,ונטורה,622,,622,93,2022-08-13T21:00:00.000Z,ונטורה אחים,,,,FALSE,2022
ביצועים,הוצאות א,העברה הלוואה לאייל 4,20000,,20000,93,2022-08-13T21:00:00.000Z,,,,,FALSE,2022
ביצועים,,קליר זכוכית,838,142,980,93,2022-08-13T21:00:00.000Z,קליר זכוכית,2982,,אשראי,TRUE,2022
ביצועים,גשר,אחים ונטורה,622,,622,93,2022-08-13T21:00:00.000Z,ונטורה אחים,,,,TRUE,2022
ביצועים,גשר,דלתות שהרבני - גשר 5,16392,2787,19179,93,2022-08-16T21:00:00.000Z,שהרבני דלתות,31095,7224,"שיק 10485 ע""ס 41,921 לתאריך 31.10.22 עבור חשבוניות 31061, 31095",TRUE,2022
ביצועים,גשר,מ.ע הובלות,22500,3825,26325,93,2022-08-17T21:00:00.000Z,מ.ע הובלות (חמיס),,,,FALSE,2022
ביצועים,,תיקון רכב חברה - אייל + הכנה לטסט,1000,170,1170,93,2022-08-17T21:00:00.000Z,,7600,7227,אשראי,TRUE,2022
ביצועים,צייטלין 2,איטום רצפת מעליות,5000,850,5850,93,2022-08-17T21:00:00.000Z,מ.ע הובלות (חמיס),296,7465,"שיק 10476 ע""ס 26,325 לתאריך 20.08.22 (חמיס חש' 295 - 17,500 + איטום צייטלין חש' 296 - 5,000)",FALSE,2022
ביצועים,גשר,מ.ע הובלות חמיס תשלום 23,17500,2975,20475,93,2022-08-17T21:00:00.000Z,מ.ע הובלות (חמיס),295,7435,"שיק 10476 ע""ס 26,325 לתאריך 20.08.22 (חמיס חש' 295 - 17,500 + איטום צייטלין חש' 296 - 5,000)",FALSE,2022
ביצועים,הוצאות א,העברה הלוואה לאייל 6,50000,,50000,93,2022-08-17T21:00:00.000Z,,,,,FALSE,2022
ביצועים,,דיו ללמדפסת,550,94,644,93,2022-08-20T21:00:00.000Z,,150374,7232,אשראי,FALSE,2022
ביצועים,גשר,פיגומים לחדר מדרגות 2,11000,1870,12870,93,2022-08-21T21:00:00.000Z,פיגום י.ש,100632,7235,"שיק 10491 ע""ס 25,740 ש""ח לתאריך 30.09.22 עבור חשבוניות 100625, 100632",TRUE,2022
ביצועים,גשר,אחים ונטורה,900,,900,93,2022-08-21T21:00:00.000Z,ונטורה אחים,,,,TRUE,2022
ביצועים,גשר,אחים ונטורה,80,,80,93,2022-08-22T21:00:00.000Z,ונטורה אחים,,,,TRUE,2022
ביצועים,גשר,מ.ע הובלות חמיס תשלום 24,10000,1700,11700,93,2022-08-24T21:00:00.000Z,מ.ע הובלות (חמיס),302,7442,"שיק 10478 ע""ס 24,570 לתאריך 28.08.22 (חש' 302 - 11,000 גשר + חש' 303 - 10,000 צייטלין)",FALSE,2022
ביצועים,צייטלין 2,עבודות סגירה ופועלים - צייטלין מעליות,11000,1870,12870,93,2022-08-24T21:00:00.000Z,מ.ע הובלות (חמיס),303,7462,"שיק 10478 ע""ס 24,570 לתאריך 28.08.22 (חש' 302 - 11,000 גשר + חש' 303 - 10,000 צייטלין)",FALSE,2022
ביצועים,צייטלין 2,ארכה - 22-08 - כבל חשמל,1060,180,1240,93,2022-08-24T21:00:00.000Z,ארכה,342207178,7244,"העברה בנקאית 10.01.23 ע""ס 10242 ש""ח עבור חשבוניות אוגוס 177, 178, 192",TRUE,2022
ביצועים,צייטלין 2,ארכה - 22-08- מופה חשמל,82,14,96,93,2022-08-24T21:00:00.000Z,ארכה,342207177,7247,"העברה בנקאית 10.01.23 ע""ס 10242 ש""ח עבור חשבוניות אוגוס 177, 178, 192",TRUE,2022
ביצועים,צייטלין 2,עץ לצייטלין מעליות 1,733,125,858,93,2022-08-24T21:00:00.000Z,זוהר עצים,244357,7254,אשראי,FALSE,2022
ביצועים,צייטלין 2,ברזנטים לכיסוי פתחי מעליות,2200,,2200,93,2022-08-24T21:00:00.000Z,,16853,7255,אשראי,FALSE,2022
ביצועים,גשר,אחים ונטורה,865,,865,93,2022-08-24T21:00:00.000Z,ונטורה אחים,,,,TRUE,2022
ביצועים,גשר,אחים ונטורה,200,,200,93,2022-08-25T21:00:00.000Z,ונטורה אחים,,,,TRUE,2022
ביצועים,צייטלין 2,מיני מחפרון לצייטלין,3000,510,3510,93,2022-08-27T21:00:00.000Z,,62,7264,"שיק 10482 ע""ס 3,405 לאחר ניקוי 3% במקור",FALSE,2022
ביצועים,צייטלין 2,מחפרון - צייטלין 2 (יוסי דותן),3000,510,3510,93,2022-08-27T21:00:00.000Z,,62,7264,"שולם בשיק - 10482 סך 3,405 ש""ח לאחר ניכוי 3% במקור",TRUE,2022
ביצועים,גשר,אחים ונטורה,860,,860,93,2022-08-27T21:00:00.000Z,ונטורה אחים,,,,TRUE,2022
ביצועים,הוצאות א,העברה הלוואה לאייל 5,20000,,20000,93,2022-08-28T21:00:00.000Z,,,,,FALSE,2022
ביצועים,גשר,שרלי - 22-07 - זיכוי,-1566,-266,-1832,93,2022-08-29T21:00:00.000Z,שרלי - חומרי בנין,100059,7274,"שיק 10484 ע""ס 59,234 חשבוניות 10565, 10567, 100059 תאריך 04.09.22",TRUE,2022
ביצועים,צייטלין 2,פיראס - עבודות בצייטלין,120000,20400,140400,93,2022-08-29T21:00:00.000Z,,301,7279,שיק 10499 תאריך 12.09.22,TRUE,2022
ביצועים,גשר,אחים ונטורה,1115,,1115,93,2022-08-29T21:00:00.000Z,ונטורה אחים,,,,TRUE,2022
ביצועים,בבלי,"פנל מבודד - גמ""ח",49110,8349,57459,93,2022-08-30T21:00:00.000Z,ענבה פנל מבודד,10018,5172,"העברה בנקאית 11.09.22 ע""ס 82,614 ש""ח עבור חשבוניות 10019, 10019",TRUE,2022
